5 0
6 26
7 470
8 2198
9 5947
10 11341
11 17223
12 23162
13 27948
14 31886
15 34299
16 35682
17 36369
18 35943
19 34637
20 33088
21 31746
22 29973
23 28160
24 26239
25 24682
26 23046
27 21298
28 19977
29 18543
30 17361
31 16067
32 14994
33 13788
34 13080
35 45256
36 43756
37 42243
38 40652
39 39574
40 37990
41 36553
42 35218
43 33833
44 32477
45 31465
46 30122
47 28872
48 27692
49 26365
50 25671
51 24388
52 23590
53 22701
54 21749
55 21202
56 20145
57 19476
58 18499
59 18148
60 17393
61 16651
62 16200
63 15305
64 14963
65 14637
66 14115
67 13457
68 13124
69 12513
70 12179
71 11765
72 11418
73 10940
74 10509
75 10429
